,id,age,gender,skinColor,accessories,nailPolish,aspectOfHand,imageName,irregularities
2810,1002,54,male,medium,0,0,,Hand_0003137.jpg,0
2811,1002,54,male,medium,0,0,,Hand_0003138.jpg,0
3057,1541,21,female,medium,1,0,,Hand_0003388.jpg,0
3058,1541,21,female,medium,1,0,,Hand_0003389.jpg,0
3652,1039,21,male,fair,0,0,,Hand_0004026.jpg,0
3869,1034,21,female,medium,1,0,,Hand_0004245.jpg,0
4190,1033,20,female,medium,0,0,,Hand_0004572.jpg,0
4248,1033,20,female,medium,0,0,,Hand_0004631.jpg,0
4249,1033,20,female,medium,0,0,,Hand_0004632.jpg,0
4553,1050,20,female,medium,0,0,,Hand_0004945.jpg,0
4554,1050,20,female,medium,0,0,,Hand_0004946.jpg,0
4769,1021,22,male,dark,0,0,,Hand_0005162.jpg,0
4770,1021,22,male,dark,0,0,,Hand_0005163.jpg,0
5158,1067,21,female,medium,1,0,,Hand_0005562.jpg,0
5173,1067,21,female,medium,1,0,,Hand_0005578.jpg,0
5174,1067,21,female,medium,1,0,,Hand_0005579.jpg,0
5575,586,21,female,fair,1,0,,Hand_0005984.jpg,0
5576,586,21,female,fair,1,0,,Hand_0005985.jpg,0
5577,586,21,female,fair,1,0,,Hand_0005986.jpg,0
5971,12,21,female,medium,1,0,,Hand_0006401.jpg,0
6142,1560,21,male,dark,0,0,,Hand_0006575.jpg,0
6426,1029,21,male,fair,0,0,,Hand_0006863.jpg,0
6427,1029,21,male,fair,0,0,,Hand_0006864.jpg,0
8130,1019,21,female,very fair,0,0,,Hand_0008622.jpg,0
8136,1019,21,female,very fair,0,0,,Hand_0008628.jpg,0
8378,528,22,female,medium,1,0,,Hand_0008885.jpg,0
8379,528,22,female,medium,1,0,,Hand_0008886.jpg,0
9224,9000000,23,male,medium,0,0,,Hand_0009791.jpg,0
9243,9000000,23,male,medium,0,0,,Hand_0009810.jpg,0
9861,518,23,male,medium,0,0,,Hand_0010471.jpg,0
9864,518,23,male,medium,0,0,,Hand_0010474.jpg,0
10201,1089,22,male,very fair,0,0,,Hand_0010833.jpg,0
10202,1089,22,male,very fair,0,0,,Hand_0010834.jpg,0
10799,1003,21,male,medium,0,0,,Hand_0011455.jpg,0
